datetime,Salmo_Salar_Downstream,P65days_count,FH1,FH2,FH3,FH4,FH5,FH6,FH7,FH8,FH9,FH10,FH11,FH12,FH13,FH14,FH15,FH16,FH17,FH18,FH19,FH20,FH21,FH22,FH23,FH24,FH25,FH26,FH27,FH28,FH29,FH30,FH31,FH32,FH33,FH34
12/16/2020,0,0,0,0.008064516,0.024193548,0.028225806,0.032258065,0.060483871,0.084677419,0.076612903,0.092741935,0.108870968,0.084677419,0.080645161,0.060483871,0.096774194,0.080645161,0.076612903,0.116935484,0.14516129,0.116935484,0.173387097,0.112903226,0.161290323,0.112903226,0.080645161,0.120967742,0.072580645,0.10483871,0.096774194,0.10483871,0.125,0.064516129,0.10483871,0.108870968,0.044354839
12/17/2020,0,0,0,0.004032258,0.008064516,0.032258065,0.040322581,0.032258065,0.060483871,0.096774194,0.052419355,0.129032258,0.100806452,0.072580645,0.092741935,0.056451613,0.084677419,0.076612903,0.068548387,0.088709677,0.096774194,0.096774194,0.157258065,0.080645161,0.153225806,0.10483871,0.072580645,0.100806452,0.060483871,0.096774194,0.088709677,0.076612903,0.088709677,0.036290323,0.10483871,0.076612903
12/18/2020,0,0,0,0,0.012096774,0.02016129,0.028225806,0.040322581,0.040322581,0.048387097,0.10483871,0.072580645,0.120967742,0.076612903,0.084677419,0.088709677,0.056451613,0.056451613,0.080645161,0.064516129,0.108870968,0.068548387,0.112903226,0.14516129,0.080645161,0.125,0.116935484,0.076612903,0.076612903,0.060483871,0.096774194,0.072580645,0.064516129,0.084677419,0.064516129,0.100806452
12/19/2020,0,0,0,0.008064516,0.012096774,0.016129032,0.024193548,0.024193548,0.040322581,0.048387097,0.056451613,0.092741935,0.068548387,0.10483871,0.080645161,0.056451613,0.080645161,0.056451613,0.056451613,0.048387097,0.060483871,0.084677419,0.076612903,0.112903226,0.157258065,0.080645161,0.10483871,0.10483871,0.056451613,0.076612903,0.072580645,0.084677419,0.068548387,0.068548387,0.064516129,0.068548387
12/20/2020,0,0,0,0.004032258,0.02016129,0.016129032,0.024193548,0.036290323,0.012096774,0.028225806,0.044354839,0.048387097,0.080645161,0.084677419,0.088709677,0.096774194,0.084677419,0.088709677,0.056451613,0.068548387,0.052419355,0.060483871,0.068548387,0.076612903,0.116935484,0.149193548,0.072580645,0.112903226,0.108870968,0.056451613,0.076612903,0.068548387,0.080645161,0.068548387,0.064516129,0.076612903
12/21/2020,0,0,0,0.004032258,0.004032258,0.032258065,0.024193548,0.028225806,0.024193548,0.016129032,0.048387097,0.052419355,0.060483871,0.052419355,0.076612903,0.056451613,0.080645161,0.056451613,0.060483871,0.048387097,0.060483871,0.060483871,0.048387097,0.076612903,0.088709677,0.108870968,0.125,0.072580645,0.096774194,0.064516129,0.040322581,0.068548387,0.056451613,0.064516129,0.064516129,0.076612903
12/22/2020,0,0,0,0,0.004032258,0.012096774,0.032258065,0.024193548,0.036290323,0.044354839,0.024193548,0.060483871,0.052419355,0.052419355,0.064516129,0.068548387,0.060483871,0.052419355,0.076612903,0.080645161,0.048387097,0.056451613,0.052419355,0.036290323,0.052419355,0.064516129,0.096774194,0.125,0.060483871,0.10483871,0.052419355,0.044354839,0.068548387,0.072580645,0.072580645,0.036290323
12/23/2020,0,0,0,0,0.008064516,0.004032258,0.008064516,0.028225806,0.028225806,0.040322581,0.032258065,0.032258065,0.052419355,0.048387097,0.064516129,0.072580645,0.064516129,0.068548387,0.048387097,0.060483871,0.064516129,0.056451613,0.048387097,0.048387097,0.032258065,0.060483871,0.064516129,0.092741935,0.137096774,0.056451613,0.100806452,0.068548387,0.040322581,0.068548387,0.060483871,0.072580645
12/24/2020,0,0,0,0,0.012096774,0.012096774,0.012096774,0.004032258,0.016129032,0.032258065,0.044354839,0.028225806,0.032258065,0.052419355,0.044354839,0.056451613,0.068548387,0.048387097,0.068548387,0.032258065,0.068548387,0.068548387,0.032258065,0.044354839,0.048387097,0.036290323,0.056451613,0.068548387,0.080645161,0.125,0.048387097,0.076612903,0.052419355,0.040322581,0.064516129,0.068548387
12/25/2020,0,0,0,0,0,0.016129032,0.012096774,0.012096774,0.016129032,0.016129032,0.02016129,0.032258065,0.02016129,0.032258065,0.052419355,0.056451613,0.048387097,0.064516129,0.064516129,0.072580645,0.036290323,0.048387097,0.048387097,0.040322581,0.040322581,0.048387097,0.036290323,0.028225806,0.064516129,0.076612903,0.088709677,0.044354839,0.076612903,0.040322581,0.048387097,0.060483871
12/26/2020,0,0,0,0,0,0.004032258,0.012096774,0.012096774,0.012096774,0.024193548,0.02016129,0.028225806,0.028225806,0.028225806,0.032258065,0.060483871,0.044354839,0.052419355,0.060483871,0.044354839,0.056451613,0.048387097,0.036290323,0.056451613,0.036290323,0.048387097,0.040322581,0.052419355,0.056451613,0.068548387,0.044354839,0.076612903,0.040322581,0.068548387,0.044354839,0.040322581
12/27/2020,0,0,0,0,0.004032258,0,0.012096774,0.008064516,0.012096774,0.016129032,0.02016129,0.024193548,0.02016129,0.056451613,0.028225806,0.02016129,0.056451613,0.040322581,0.040322581,0.056451613,0.048387097,0.068548387,0.044354839,0.028225806,0.048387097,0.036290323,0.044354839,0.032258065,0.032258065,0.052419355,0.060483871,0.036290323,0.076612903,0.044354839,0.052419355,0.032258065
12/28/2020,1,1,0,0,0,0.004032258,0.008064516,0.008064516,0.008064516,0.016129032,0.008064516,0.012096774,0.016129032,0.032258065,0.044354839,0.028225806,0.028225806,0.052419355,0.032258065,0.036290323,0.036290323,0.036290323,0.052419355,0.032258065,0.032258065,0.040322581,0.016129032,0.036290323,0.036290323,0.028225806,0.064516129,0.060483871,0.036290323,0.068548387,0.048387097,0.040322581
